id,zipcode,name,country_id/id
374,7940,Brugelette,base.be
375,8000,Brugge,base.be
376,5660,Brûly,base.be
377,5660,Brûly-de-Pesche,base.be
378,7620,Brunehaut,base.be
379,1785,Brussegem,base.be
399,3800,Brustem,base.be
400,1000,Bruxelles,base.be
401,1120,Bruxelles,base.be
402,1130,Bruxelles,base.be
403,1140,Bruxelles,base.be
404,1150,Bruxelles,base.be
405,1160,Bruxelles,base.be
406,1170,Bruxelles,base.be
407,1180,Bruxelles,base.be
408,1190,Bruxelles,base.be
409,1020,Bruxelles,base.be
410,1200,Bruxelles,base.be
411,1210,Bruxelles,base.be
412,1030,Bruxelles,base.be
413,1040,Bruxelles,base.be
414,1050,Bruxelles,base.be
415,1060,Bruxelles,base.be
416,1070,Bruxelles,base.be
417,1080,Bruxelles,base.be
418,1090,Bruxelles,base.be
419,7641,Bruyelle,base.be
420,6222,Brye,base.be
421,3440,Budingen,base.be
422,9255,Buggenhout,base.be
423,7911,Buissenal,base.be
424,5580,Buissonville,base.be
425,1501,Buizingen,base.be
426,1910,Buken,base.be
427,4760,Bullange,base.be
428,4760,Büllingen,base.be
429,8630,Bulskamp,base.be
430,3380,Bunsbeek,base.be
431,2070,Burcht,base.be
432,4210,Burdinne,base.be
433,6927,Bure,base.be
434,4790,Burg-Reuland,base.be
435,9420,Burst,base.be
436,7602,Bury,base.be
437,4750,Butgenbach,base.be
438,4750,Bütgenbach,base.be
439,3891,Buvingen,base.be
440,7133,Buvrinnes,base.be
441,6743,Buzenol,base.be
442,6230,Buzet,base.be
443,7604,Callenelle,base.be
444,7642,Calonne,base.be
445,7940,Cambron-Casteau,base.be
446,7870,Cambron-Saint-Vincent,base.be
447,6850,Carlsbourg,base.be
448,7141,Carnières,base.be
449,7020,Casteau (Mons),base.be
450,7061,Casteau (Soignies),base.be
451,5650,Castillon,base.be
452,7760,Celles (Ht.),base.be
453,4317,Celles (Lg.),base.be
454,5561,Celles (Nam.),base.be
455,4632,Cerexhe-Heuseux,base.be
456,5630,Cerfontaine,base.be
457,1341,Céroux-Mousty,base.be
458,7063,Ch.-Notre-Dame-Louvignies,base.be
459,4650,Chaineux,base.be
460,5550,Chairière,base.be
461,5020,Champion,base.be
462,6971,Champlon,base.be
463,6921,Chanly,base.be
464,6742,Chantemelle,base.be
465,7903,Chapelle-à-Oie,base.be
466,7903,Chapelle-à-Wattines,base.be
467,7160,Chapelle-lez-Herlaimont,base.be
468,4537,Chapon-Seraing,base.be
469,6000,Charleroi,base.be
470,4654,Charneux,base.be
471,6824,Chassepierre,base.be
472,1450,Chastre,base.be
473,5650,Chastrès,base.be
474,1450,Chastre-Villeroux-Blanmont,base.be
475,6200,Châtelet,base.be
476,6200,Châtelineau,base.be
477,6747,Châtillon,base.be
478,4050,Chaudfontaine,base.be
479,1325,Chaumont-Gistoux,base.be
480,4032,Chênée,base.be
481,6673,Cherain,base.be
482,4602,Cheratte,base.be
483,7521,Chercq,base.be
484,5590,Chevetogne,base.be
485,4987,Chevron,base.be
486,7950,Chièvres,base.be
487,6460,Chimay,base.be
488,6810,Chiny,base.be
489,4400,Chokier,base.be
